sewma,bewma,ratio,dollars
4,8,2.0,1236.7150869869688
4,9,2.25,1129.4491993140903
4,10,2.5,1250.896540493273
4,11,2.75,1289.8812069677545
4,12,3.0,1633.629408552141
4,13,3.25,1626.7673818097721
4,14,3.5,1678.2873703442356
4,15,3.75,1592.2428895510366
5,10,2.0,1512.6810094527004
5,11,2.2,1607.479807472762
5,12,2.4,1713.1200292678664
5,13,2.6,1505.4486997119486
5,14,2.8,1657.6760183402291
5,15,3.0,1726.4470748242716
5,16,3.2,1723.5831587847322
5,17,3.4,1968.2954817057275
5,18,3.6,2085.9999971106686
5,19,3.8,1779.435022346959
6,12,2.0,1628.1765832884857
6,13,2.1666666666666665,1719.624236595558
6,14,2.3333333333333335,1862.6537075890546
6,15,2.5,1908.7889710716843
6,16,2.6666666666666665,1995.4185427995671
6,17,2.8333333333333335,1735.0826512091019
6,18,3.0,1652.6565272903779
6,19,3.1666666666666665,1907.7858345175487
6,20,3.3333333333333335,1927.8909801936245
6,21,3.5,1975.1721925672446
6,22,3.6666666666666665,2050.4280018641984
6,23,3.8333333333333335,2038.2187796106405
7,14,2.0,1959.5253242048684
7,15,2.142857142857143,1989.6850881070613
7,16,2.2857142857142856,1734.8027693446509
7,17,2.4285714285714284,1802.3631711233118
7,18,2.5714285714285716,1885.7208009025728
7,19,2.7142857142857144,1896.973243186188
7,20,2.857142857142857,2046.5624129403102
7,21,3.0,1918.95882639666
7,22,3.142857142857143,1791.179785786263
7,23,3.2857142857142856,1826.5851810483757
7,24,3.4285714285714284,1826.5851810483757
7,25,3.5714285714285716,1544.2909564782012
7,26,3.7142857142857144,1527.2130471595176
7,27,3.857142857142857,1590.236361011816
8,16,2.0,1925.3788459429127
8,17,2.125,1662.6921820122197
8,18,2.25,1865.8087536115108
8,19,2.375,1895.0246945938482
8,20,2.5,1785.8306835309122
8,21,2.625,1939.064587673066
8,22,2.75,1633.2299595165084
8,23,2.875,1579.610678860221
8,24,3.0,1560.0296128848968
8,25,3.125,1599.3610808715114
8,26,3.25,1544.283796893161
8,27,3.375,1478.4672014659066
8,28,3.5,1527.7782567617926
8,29,3.625,1688.5511993636935
8,30,3.75,1496.1797090108219
8,31,3.875,1575.2968753229493
9,18,2.0,2122.768840904777
9,19,2.111111111111111,1778.8827666121604
9,20,2.2222222222222223,1575.9494613868374
9,21,2.3333333333333335,1485.043415866605
9,22,2.4444444444444446,1496.157445589238
9,23,2.5555555555555554,1392.2612937870258
9,24,2.6666666666666665,1499.1394285661634
9,25,2.7777777777777777,1499.1394285661634
9,26,2.888888888888889,1612.3756421600685
9,27,3.0,1710.180971398229
9,28,3.111111111111111,1662.373753108574
9,29,3.2222222222222223,1751.2224270608651
9,30,3.3333333333333335,1708.1690495561083
9,31,3.4444444444444446,1474.6938466672293
9,32,3.5555555555555554,1422.8444791452669
9,33,3.6666666666666665,1465.5381997288855
9,34,3.7777777777777777,1474.5361801746044
9,35,3.888888888888889,1513.615315560921
10,20,2.0,1515.1478410088478
10,21,2.1,1439.183662638581
10,22,2.2,1467.2805580185152
10,23,2.3,1458.7235187436218
10,24,2.4,1639.9172116990146
10,25,2.5,1709.4659952156119
10,26,2.6,1752.8719896279692
10,27,2.7,1763.2140592015307
10,28,2.8,1715.5248406237968
10,29,2.9,1481.5159665973301
10,30,3.0,1581.5181590812392
10,31,3.1,1536.7136167933202
10,32,3.2,1512.9525684884663
10,33,3.3,1496.9158898046592
10,34,3.4,1556.6201607346554
10,35,3.5,1462.1932966671097
10,36,3.6,1337.8408868967815
10,37,3.7,1310.1839175408334
10,38,3.8,1430.7681639181717
10,39,3.9,1429.1418289776568
11,22,2.0,1488.8109950599912
11,23,2.090909090909091,1641.485030522694
11,24,2.1818181818181817,1891.857227084311
11,25,2.272727272727273,1762.4769114503458
11,26,2.3636363636363638,1727.2720307574118
11,27,2.4545454545454546,1402.8822655001222
11,28,2.5454545454545454,1575.3396943751716
11,29,2.6363636363636362,1598.7991545440977
11,30,2.727272727272727,1669.5771640678088
11,31,2.8181818181818183,1686.8910126336818
11,32,2.909090909090909,1641.5766513550602
11,33,3.0,1410.8817585385186
11,34,3.090909090909091,1390.1981561917332
11,35,3.1818181818181817,1397.7645077700242
11,36,3.272727272727273,1280.0472363257963
11,37,3.3636363636363638,1329.8135316253695
11,38,3.4545454545454546,1317.8153415118675
11,39,3.5454545454545454,1557.712196133665
11,40,3.6363636363636362,1666.5707317303934
11,41,3.727272727272727,1714.9801842505483
11,42,3.8181818181818183,1899.8622708010048
11,43,3.909090909090909,2069.2081118620317
12,24,2.0,1689.4949025454532
12,25,2.0833333333333335,1641.4751639537758
12,26,2.1666666666666665,1507.5271786801848
12,27,2.25,1526.822299256466
12,28,2.3333333333333335,1568.2919087815799
12,29,2.4166666666666665,1609.8558206425168
12,30,2.5,1758.6785611678022
12,31,2.5833333333333335,1589.9382019907684
12,32,2.6666666666666665,1432.871205975402
12,33,2.75,1496.9953346759971
12,34,2.8333333333333335,1504.5458630717822
12,35,2.9166666666666665,1414.5158004950856
12,36,3.0,1324.5516884664767
12,37,3.0833333333333335,1479.5603497880247
12,38,3.1666666666666665,1575.3217553424809
12,39,3.25,1820.9038635673496
12,40,3.3333333333333335,1875.8349472615075
12,41,3.4166666666666665,1922.7593406310732
12,42,3.5,2187.4722575220408
12,43,3.5833333333333335,2112.6226269466156
12,44,3.6666666666666665,2034.949905675591
12,45,3.75,2081.9756842665333
12,46,3.8333333333333335,2184.5424124506926
12,47,3.9166666666666665,2210.714791339288
13,26,2.0,1542.7307646596178
13,27,2.076923076923077,1542.7307646596178
13,28,2.1538461538461537,1734.7725339041351
13,29,2.230769230769231,1592.6362885372107
13,30,2.3076923076923075,1703.5709413089567
13,31,2.3846153846153846,1684.7851340219142
13,32,2.4615384615384617,1513.9052584143042
13,33,2.5384615384615383,1514.9847986910654
13,34,2.6153846153846154,1516.822749458831
13,35,2.6923076923076925,1560.343726469739
13,36,2.769230769230769,1568.7655300440292
13,37,2.8461538461538463,1649.0002516225657
13,38,2.923076923076923,1624.7561970024165
13,39,3.0,1995.6538342549775
13,40,3.076923076923077,1851.421551633118
13,41,3.1538461538461537,2024.340568256076
13,42,3.230769230769231,2064.1683995390126
13,43,3.3076923076923075,2212.199372010833
13,44,3.3846153846153846,2263.4412635768035
13,45,3.4615384615384617,2124.506207809315
13,46,3.5384615384615383,1874.1356861351062
13,47,3.6153846153846154,1963.6177848905386
13,48,3.6923076923076925,2026.82002171832
13,49,3.769230769230769,2098.3685213927283
13,50,3.8461538461538463,2098.3685213927283
13,51,3.923076923076923,2045.2868397166728
14,28,2.0,1631.3518412258488
14,29,2.0714285714285716,1704.023055616681
14,30,2.142857142857143,1758.597920169839
14,31,2.2142857142857144,1641.1508701831553
14,32,2.2857142857142856,1566.7414856190885
14,33,2.357142857142857,1584.254379636372
14,34,2.4285714285714284,1702.8206230756734
14,35,2.5,1601.1084040242608
14,36,2.5714285714285716,1573.5660909344062
14,37,2.642857142857143,1639.0341705108833
14,38,2.7142857142857144,1896.471356627211
14,39,2.7857142857142856,2049.384491926734
14,40,2.857142857142857,2073.597933636275
14,41,2.9285714285714284,2312.4103949915816
