MTS,open,close,high,low,volume
2018-06-16 01:00:00,0.10148,0.10105,0.10148,0.1002,2327.55594525
2018-06-16 09:00:00,0.10167,0.09696,0.10167,0.09696,16013.12854623
2018-06-16 13:00:00,0.097083,0.097082,0.097083,0.097082,1487.568
2018-06-16 14:00:00,0.10368,0.10368,0.10368,0.10368,96.0
2018-06-16 16:00:00,0.098531,0.10256,0.10256,0.098531,2601.27520152
2018-06-16 19:00:00,0.1009,0.1009,0.1009,0.1009,787.9212
2018-06-17 05:00:00,0.098182,0.098181,0.098182,0.098181,1474.66052682
2018-06-17 11:00:00,0.10466,0.10466,0.10466,0.10466,172.45005178
2018-06-18 07:00:00,0.09972,0.09972,0.09972,0.09972,200.0
2018-06-18 08:00:00,0.099781,0.09971,0.099781,0.09971,1199.3
2018-06-18 16:00:00,0.10222,0.10225,0.10225,0.10222,5673.31
2018-06-18 17:00:00,0.10498,0.098501,0.11529,0.098501,12380.52389771
2018-06-18 20:00:00,0.11486,0.11486,0.11486,0.11486,280.78560001
2018-06-18 21:00:00,0.11368,0.10418,0.11368,0.10418,844.68103921
2018-06-19 11:00:00,0.11436,0.11436,0.11436,0.11436,11000.0
2018-06-19 15:00:00,0.10435,0.10435,0.10435,0.10435,196.0
2018-06-19 17:00:00,0.10377,0.10377,0.10377,0.10377,2470.20795187
2018-06-20 07:00:00,0.10377,0.10377,0.10377,0.10377,1251.349
2018-06-20 09:00:00,0.10998,0.10998,0.10998,0.10998,864.0
2018-06-20 15:00:00,0.11039,0.11039,0.11039,0.11039,505.54337556
2018-06-20 17:00:00,0.10471,0.10471,0.10471,0.10471,326.45113836
2018-06-20 20:00:00,0.11071,0.11071,0.11071,0.11071,1000.0
2018-06-21 06:00:00,0.1115,0.11299,0.11299,0.1115,1000.0
2018-06-21 07:00:00,0.10389,0.10389,0.10389,0.10389,250.0
2018-06-21 08:00:00,0.112,0.10312,0.112,0.10312,925.1
2018-06-21 10:00:00,0.10666,0.10666,0.10666,0.10666,135.0
2018-06-21 13:00:00,0.10276,0.10172,0.11197,0.10103,9641.56411194
2018-06-21 23:00:00,0.11055,0.11107,0.11107,0.11055,300.0
2018-06-22 01:00:00,0.10888,0.10726,0.10888,0.10726,58008.93936751
2018-06-22 07:00:00,0.10247,0.10247,0.10247,0.10247,377.5
2018-06-22 08:00:00,0.10246,0.10246,0.10246,0.10246,122.8675
2018-06-22 09:00:00,0.101,0.10104,0.10104,0.101,4972.4993
2018-06-22 11:00:00,0.10917,0.10917,0.10917,0.10917,100.0
2018-06-22 12:00:00,0.10092,0.10092,0.10092,0.10092,172.10515168
2018-06-22 13:00:00,0.10002,0.10002,0.10002,0.10002,172.10515168
2018-06-22 15:00:00,0.10052,0.10052,0.10052,0.10052,349.60574566
2018-06-22 21:00:00,0.10001,0.097,0.10001,0.097,25501.68818208
2018-06-22 22:00:00,0.096179,0.09618,0.096194,0.096,23511.58135031
